Ping ID,Unit ID,Timestamp CST,Zone ID,Zone Name,"Zone Center
Latitude","Zone Center
Longitude"
10267008,737380792,7/28/16 7:43 AM,635,EL MAR 21 A3DM FEDERAL COM,32.03569239,-103.5836398
10270264,737380792,7/28/16 8:12 AM,216,TXL 37,31.89852767,-103.8057808
10277858,737380792,7/28/16 9:21 AM,2345,KENTZEL STATE 42 SL,31.91209887,-103.8024933
10280253,737380792,7/28/16 9:43 AM,2343,KENTZEL 42 STATE SWD,31.90490817,-103.7973739
10290796,737380792,7/28/16 11:10 AM,2038,Hobbs HQ,32.69394952,-103.1499318
10299858,737380792,7/28/16 12:25 PM,2173,Hobbs Production Offic e,32.69579206,-103.1472816
10334684,737380792,7/28/16 10:03 PM,727,SALADO DRAW 10 A3PA FEDERAL,32.05113727,-103.5523758
10334918,737380792,7/28/16 10:33 PM,661,SALADO DRAW 10 A3DM FEE,32.06428784,-103.5666102
10334948,737380792,7/28/16 10:36 PM,666,SALADO DRAW `9` DM FEDERAL COM,32.06424511,-103.5841318
