ping_id,unit_id,date_cst2,lat,long
10287571,737380792,7/28/16 10:43 AM,32.47160882,-103.2861662
10287758,737380792,7/28/16 10:44 AM,32.47163564,-103.2623616
10288100,737380792,7/28/16 10:47 AM,32.51419425,-103.2598055
10288312,737380792,7/28/16 10:49 AM,32.54296094,-103.2563615
10288652,737380792,7/28/16 10:52 AM,32.59095774,-103.2648588
10288984,737380792,7/28/16 10:55 AM,32.63133035,-103.2649634
10289351,737380792,7/28/16 10:58 AM,32.68904479,-103.2649218
10289701,737380792,7/28/16 11:01 AM,32.6965201,-103.2206224
10290054,737380792,7/28/16 11:04 AM,32.69649194,-103.1795471
10290422,737380792,7/28/16 11:07 AM,32.69656168,-103.1510245
10290796,737380792,7/28/16 11:10 AM,32.69413562,-103.1494058
10291205,737380792,7/28/16 11:13 AM,32.69413562,-103.1494058
10291570,737380792,7/28/16 11:16 AM,32.69413562,-103.1494058
10291954,737380792,7/28/16 11:19 AM,32.69413562,-103.1494058
10292290,737380792,7/28/16 11:22 AM,32.69413562,-103.1494058
10292648,737380792,7/28/16 11:25 AM,32.69413562,-103.1494058
10292992,737380792,7/28/16 11:28 AM,32.69413562,-103.1494058
10293367,737380792,7/28/16 11:31 AM,32.69413562,-103.1494058
10293756,737380792,7/28/16 11:34 AM,32.69413562,-103.1494058
10294248,737380792,7/28/16 11:37 AM,32.69413562,-103.1494058
10294714,737380792,7/28/16 11:40 AM,32.69413562,-103.1494058
10295162,737380792,7/28/16 11:43 AM,32.69413562,-103.1494058
10295545,737380792,7/28/16 11:46 AM,32.69413562,-103.1494058
10295914,737380792,7/28/16 11:49 AM,32.69413562,-103.1494058
10296254,737380792,7/28/16 11:52 AM,32.69413562,-103.1494058
10296586,737380792,7/28/16 11:55 AM,32.69413562,-103.1494058
10296919,737380792,7/28/16 11:58 AM,32.69413562,-103.1494058
10297301,737380792,7/28/16 12:01 PM,32.69413562,-103.1494058
10297587,737380792,7/28/16 12:04 PM,32.69413562,-103.1494058
10297859,737380792,7/28/16 12:06 PM,32.69413562,-103.1494058
10298206,737380792,7/28/16 12:09 PM,32.69413562,-103.1494058
10298467,737380792,7/28/16 12:11 PM,32.69413562,-103.1494058
10298785,737380792,7/28/16 12:14 PM,32.69413562,-103.1494058
10299076,737380792,7/28/16 12:17 PM,32.69413562,-103.1494058
10299373,737380792,7/28/16 12:20 PM,32.69413562,-103.1494058
10299656,737380792,7/28/16 12:23 PM,32.69413562,-103.1494058
10299858,737380792,7/28/16 12:25 PM,32.6962559,-103.1461858
10300071,737380792,7/28/16 12:26 PM,32.69631357,-103.1459444
10300164,737380792,7/28/16 12:27 PM,32.69631357,-103.1459444
10300232,737380792,7/28/16 12:28 PM,32.69631357,-103.1459444
10300642,737380792,7/28/16 12:31 PM,32.6964973,-103.1273888
10300983,737380792,7/28/16 12:34 PM,32.70597221,-103.117584
10301058,737380792,7/28/16 12:35 PM,32.70597221,-103.117584
10301422,737380792,7/28/16 12:38 PM,32.70597221,-103.117584
10301752,737380792,7/28/16 12:41 PM,32.70597221,-103.117584
